23	GL343308.1	70.37	766	128	25	233485	234170	249974	250720	2e-90	  334
23	GL343308.1	81.29	342	64	0	245312	245653	267187	267528	9e-89	  329
23	GL343308.1	82.09	335	21	10	235568	235864	253543	253876	4e-87	  324
23	GL343308.1	89.10	211	23	0	247033	247243	271087	271297	5e-73	  277
23	GL343308.1	68.12	756	144	27	208809	209520	213657	214359	1e-62	  242
23	GL343308.1	73.90	456	77	20	199981	200417	201416	201848	5e-60	  233
23	GL343308.1	82.43	222	38	1	245987	246208	267761	267981	3e-56	  221
23	GL343308.1	80.53	226	44	0	243333	243558	265499	265724	6e-53	  210
23	GL343308.1	85.71	161	23	0	227182	227342	244311	244471	7e-46	  187
23	GL343308.1	72.47	316	37	11	234581	234872	251165	251454	4e-42	  174
23	GL343308.1	88.15	135	16	0	246587	246721	269191	269325	2e-41	  172
23	GL343308.1	75.31	239	53	1	230102	230340	246042	246274	7e-40	  167
23	GL343308.1	76.62	231	45	4	183398	183622	142528	142755	8e-39	  163
23	GL343308.1	79.10	201	38	4	180536	180732	100004	100204	1e-37	  159
23	GL343308.1	90.91	110	10	0	207203	207312	211405	211514	4e-36	  154
23	GL343308.1	83.45	145	21	1	225364	225508	242501	242642	1e-35	  152
23	GL343308.1	78.75	160	29	1	202407	202561	205734	205893	1e-30	  136
23	GL343308.1	79.58	142	26	2	229094	229235	244871	245009	9e-26	  120
23	GL343308.1	81.15	122	23	0	226043	226164	243041	243162	1e-24	  116
23	GL343308.1	77.37	137	31	0	241468	241604	264005	264141	5e-22	  107
23	GL343308.1	83.87	93	14	1	178288	178380	65558	65649	1e-18	96.9
23	GL343308.1	83.33	84	14	0	201520	201603	204500	204583	1e-16	89.7
23	GL343308.1	77.69	121	24	3	172666	172784	20373	20492	2e-15	86.0
23	GL343308.1	79.44	107	16	4	247338	247441	271529	271632	2e-14	82.4
23	GL343308.1	82.05	78	14	0	230953	231030	247162	247239	3e-13	78.8
23	GL343308.1	87.93	58	6	1	184030	184086	144625	144682	1e-10	69.8
23	GL343308.1	71.94	139	20	6	176562	176681	45671	45809	2e-09	66.2
23	GL343308.1	76.53	98	20	3	181689	181783	112102	112199	2e-08	62.6
23	GL343308.1	75.00	92	23	0	243849	243940	266427	266518	2e-08	62.6
23	GL343308.1	79.71	69	13	1	172380	172447	17546	17614	2e-07	59.0
23	GL343308.1	93.33	30	1	1	364146	364175	104724	104696	0.019	42.8
23	GL343308.1	93.33	30	1	1	364146	364175	302046	302074	0.019	42.8
23	GL343308.1	80.85	47	8	1	268588	268633	101571	101617	0.067	41.0
23	GL343308.1	86.84	38	2	2	33804	33840	340253	340218	0.067	41.0
23	GL343308.1	87.10	31	4	0	235366	235396	217772	217742	0.23	39.2
23	GL343308.1	87.10	31	4	0	10640	10670	229538	229568	0.23	39.2
23	GL343308.1	75.38	65	9	3	234386	234448	250955	251014	0.23	39.2
